kappa,angle_rad,a_parameter,field_size,unit_length,T_parameter,gstools_model_anis_ratio,gstools_model_rescale_factor,gstools_model_len_scale,level_val,total_points_generated,sigma_emp_xx,sigma_emp_xy,sigma_emp_yy,estimated_angle_cabana,estimated_kappa_cabana,empirical_cosine_cabana,empirical_sine_cabana,euler_characteristic,perimeter,volume_sublevel_set,perimeter_cabana,estimated_kappa_BD,statistics_BD,mean_statistics_BD,euler_characteristic_scikit_1,euler_characteristic_scikit_2,estimated_kappa_BD_scikit_1,estimated_kappa_BD_scikit_2,chi2_statistic,chi2_pvalue,factor_divide,full_covariance_emp_gradients_xx,full_covariance_emp_gradients_xy,full_covariance_emp_gradients_yy,estimated_kappa_gradients,estimated_angle_gradients,full_correlation_emp_gradients_xx,full_correlation_emp_gradients_xy,full_correlation_emp_gradients_yy,estimated_kappa_normals,estimated_angle_normals
0,1,1.0,1000,5,200.0,1.0,0.2,[1.41421356 1.41421356],2,10000000,0.4818429648055623,-0.0031656053634755163,0.518149020310019,1.48389615523112,0.30596527227845866,-90.8157225277399,-15.944672534846768,599.5879202676408,2502.66409363446,878.2000000000002,2502.620444281864,0.5922952537808794,0.39828301389295734,0.4052847345693511,662,657,,,1.3814663825334323,0.5012084526556615,10,0.8989649916689567,-0.013924927034457895,0.9758085580073474,0.28905280499774816,1.3969469873844131,0.4890007754565502,-0.0023449991867646653,0.5109953896784085,0.20973572223811335,1.4657525650967704
0,1,1.0,1000,5,200.0,1.0,0.2,[1.41421356 1.41421356],2,10000000,0.4803428671035275,-0.01742109106491422,0.519651909970119,1.2076771791122907,0.361738134538148,-113.55499221210833,-100.8556670347168,661.2519951033753,2890.4111575064057,1021.6400000000002,2890.3604574185533,0.716390352990056,0.3862739640122646,0.4052847345693511,727,725,,,2.851757931419187,0.2402971573952012,10,0.9649978150471775,-0.04755580560450271,1.052244809461941,0.3467977024679261,1.1565469972885318,0.4902269637613658,-0.011546237402873897,0.5097707504608917,0.242340067280423,1.1365771006805525
0,1,1.0,1000,5,200.0,1.0,0.2,[1.41421356 1.41421356],2,10000000,0.4927326728750947,-0.01967185225192734,0.5072639986809463,0.9618467476463997,0.3255161415152611,-37.778359231271494,-102.57073529073119,620.3645285491756,2603.9007963102163,912.0000000000002,2603.8559537635665,0.6251701031502812,0.39610556157081284,0.4052847345693511,688,685,,,1.6178907677172754,0.44532746819613744,10,0.941311658007027,-0.05044135019449054,1.0048476532011565,0.3397777413288589,1.0664201919476062,0.490931557260547,-0.015014919601231094,0.5090682284753306,0.26035649640843767,1.0570594169858145
0,1,1.0,1000,5,200.0,1.0,0.2,[1.41421356 1.41421356],2,10000000,0.4840349213576885,0.022918361505275875,0.5159629220118542,2.0519355084023054,0.3720369647223914,-70.34196654269202,100.96230358999173,580.5331059755016,2204.7763683166722,704.2000000000002,2204.7391123730526,0.6492372487311358,0.3941333547832183,0.4052847345693511,644,638,,,3.03776194906375,0.21895676811246978,10,0.9226977781224746,0.05878585222063953,0.9810135586503724,0.35914555454329045,-1.0156201435163679,0.4910176697394176,0.01522261064565851,0.5089818914386962,0.26131623645175134,-1.0519339926455338
0,1,1.0,1000,5,200.0,1.0,0.2,[1.41421356 1.41421356],2,10000000,0.5135305700827243,-0.005476863864795981,0.4864679576244208,1.763647042076667,0.2739073660007777,68.26968624107495,-27.72014593034062,567.2686041537042,2520.146551891741,897.6000000000001,2520.1094845697226,0.7512301629815274,0.38025071720100095,0.4052847345693511,623,623,,,0.8692703191913621,0.6475008584643331,10,0.928522239525846,-0.022371927125586628,0.893269246714742,0.24625014481530283,0.4517433090739192,0.5065980661489524,-0.0064499561249277216,0.4933885954165949,0.1904150148118246,0.386771251480132
0,1,1.0,1000,5,200.0,1.0,0.2,[1.41421356 1.41421356],2,10000000,0.4984388357972167,-0.019971416330103024,0.5015600663169312,0.8240479992668552,0.31859416354402287,-8.125648850786172,-104.90934807012748,612.6765105909861,2623.0091781191354,900.6800000000002,2622.9622991043584,0.7500716771520676,0.3804793323194251,0.4052847345693511,679,675,,,1.1629381404413006,0.559076440429916,10,0.9537074321249395,-0.045493105329402844,0.9867144894833221,0.3082537010221065,0.9594009176048724,0.49704390515086044,-0.012075113382108807,0.5029555284116789,0.2202728787272334,0.9054305774258768
0,1,1.0,1000,5,200.0,1.0,0.2,[1.41421356 1.41421356],2,10000000,0.4975054341880085,-0.011101758949303707,0.5024926428001942,0.8951492319831084,0.24291843843304667,-12.267939963267516,-54.989333390681104,598.104569619766,2470.6533054372812,830.1200000000001,2470.6114863329435,0.7293481079701047,0.3842269202389236,0.4052847345693511,662,657,,,0.4069566166730305,0.8158879020965395,10,0.9387422740043341,-0.02784496837472512,0.9263255055516526,0.24365767605948072,0.6757110172602661,0.500921836391083,-0.00698824824499958,0.49907128476226614,0.16674870671222414,0.719578736167574
0,1,1.0,1000,5,200.0,1.0,0.2,[1.41421356 1.41421356],2,10000000,0.47866918984949625,0.015130171606838591,0.5213296695955556,1.879058300733106,0.3608019935424815,-110.1861487230501,78.08609159584466,651.8564479054107,2584.4814724342527,859.6400000000002,2584.433769347118,0.6126333591408522,0.3969998991517987,0.4052847345693511,713,713,,,2.8045879814883103,0.24603192113805816,10,0.9704971405214669,0.039631143663363545,1.0668195216221041,0.33969350973279416,-1.226526049736535,0.4885411162174852,0.009121269344063921,0.5114565203753824,0.23856489370880649,-1.2346226807813232
0,1,1.0,1000,5,200.0,1.0,0.2,[1.41421356 1.41421356],2,10000000,0.5104277056379093,0.026609881258303405,0.4895712450909946,0.972531197939892,0.37607024848518233,56.5873565492371,144.06913715011459,682.7222207213864,2709.6998250133674,876.4800000000001,2709.64287006932,0.7178378181162645,0.38605554484619187,0.4052847345693511,754,750,,,2.823532871756286,0.24371240037410768,10,1.0548448503612238,0.07463343809859549,0.978435544035172,0.3903535002972807,-0.5488381327656753,0.508963234443147,0.01819259562329701,0.49103517285349796,0.27921735268452635,-0.5564909583597231
0,1,1.0,1000,5,200.0,1.0,0.2,[1.41421356 1.41421356],2,10000000,0.484171561013019,-0.006668681892189404,0.5158284423298212,1.3705977860714444,0.2959086947272772,-87.22791140649949,-36.920204302102924,638.9712253621666,2757.5034952694123,974.8800000000002,2757.454478030106,0.6862806618254605,0.3903007704656087,0.4052847345693511,701,699,,,1.3292422417656613,0.5144684121232797,10,0.93263698019995,-0.006805043774799049,1.0038895942779382,0.2687255460704264,1.476427188001905,0.49154009237189317,-0.002312980725188638,0.5084549715962807,0.1856551071812236,1.4373178535824644
