kappa,angle_rad,a_parameter,field_size,unit_length,T_parameter,gstools_model_anis_ratio,gstools_model_rescale_factor,gstools_model_len_scale,level_val,total_points_generated,sigma_emp_xx,sigma_emp_xy,sigma_emp_yy,estimated_angle_cabana,estimated_kappa_cabana,empirical_cosine_cabana,empirical_sine_cabana,euler_characteristic,perimeter,volume_sublevel_set,perimeter_cabana,estimated_kappa_BD,statistics_BD,mean_statistics_BD,euler_characteristic_scikit_1,euler_characteristic_scikit_2,estimated_kappa_BD_scikit_1,estimated_kappa_BD_scikit_2,chi2_statistic,chi2_pvalue,factor_divide,full_covariance_emp_gradients_xx,full_covariance_emp_gradients_xy,full_covariance_emp_gradients_yy,estimated_kappa_gradients,estimated_angle_gradients,full_correlation_emp_gradients_xx,full_correlation_emp_gradients_xy,full_correlation_emp_gradients_yy,estimated_kappa_normals,estimated_angle_normals
0.9,1,1.5146475955500731,1000,5,200.0,0.43588989435406733,0.2,[2.14203517 0.93369148],1,10000000,0.3855714010453446,-0.24121691072268067,0.6144281704546447,1.0068014787602158,0.8910040114713884,-3048.8329846981433,-6429.237851235433,1450.1230520763343,13321.678186470564,6141.600000000001,13320.82021906499,0.9155428311283167,0.3031155159822265,0.3175017515036052,1685,1595,0.8436674086208941,0.8784207708856656,197.68731062147594,0.0,25,0.9414737634929434,-0.7963707097580696,1.6490390683296152,0.8968738470314844,0.9944264963905531,0.4232181219913156,-0.17691508675683854,0.5767816088862026,0.7461259105911348,0.9901340626639664
0.9,1,1.5146475955500731,1000,5,200.0,0.43588989435406733,0.2,[2.14203517 0.93369148],1,10000000,0.3925229439449814,-0.2528313520577841,0.6074766393927535,0.9863055373354576,0.8974362244664345,-3105.5398205193314,-7308.287364441649,1514.1805977091751,14447.537914704371,6659.680000000001,14446.56918348157,0.9191361638285832,0.29934185829123766,0.3175017515036052,1772,1665,0.8478011923270907,0.8847311243876141,250.9125623650005,0.0,25,1.1287766923908495,-0.9532670388049692,1.8902358140900675,0.8997410254634223,0.9753902828060875,0.42621852746601974,-0.18483134155007044,0.573768421965819,0.7545943347770763,0.9752837388834997
0.9,1,1.5146475955500731,1000,5,200.0,0.43588989435406733,0.2,[2.14203517 0.93369148],1,10000000,0.3857180181809097,-0.2521756335436889,0.6142806612814173,0.9980842886348973,0.8991506231720942,-3007.656979077139,-6638.954402110435,1365.822896638113,13159.148620623522,6200.120000000001,13158.299264415175,0.9219800615457597,0.29621725583660524,0.3175017515036052,1595,1511,0.8567402030733197,0.8867946494992833,204.31363754090827,0.0,25,0.9586052205396004,-0.8265113069474991,1.6343562800161058,0.9031431673612974,0.9794317197170779,0.4227827974978713,-0.18484711786424216,0.5771924943826321,0.7563704294076877,0.9832204570380277
0.9,1,1.5146475955500731,1000,5,200.0,0.43588989435406733,0.2,[2.14203517 0.93369148],1,10000000,0.3629864417879855,-0.24570788776014052,0.6370135106808505,1.039669957240229,0.9026934405395115,-3669.489179661189,-6582.655316869774,1371.4140439981272,13390.86988111252,6388.000000000001,13390.040872410915,0.9197672764991529,0.29865929637626903,0.3175017515036052,1594,1514,0.8543521938054242,0.8839332778379076,177.4288790280575,0.0,25,0.8855511920191631,-0.7991642698720657,1.7138472253858636,0.9046259135387967,1.0244592519490896,0.40807920727547325,-0.17822475066032592,0.5919098706121295,0.7566471509016236,1.0234731501670167
0.9,1,1.5146475955500731,1000,5,200.0,0.43588989435406733,0.2,[2.14203517 0.93369148],1,10000000,0.3907073847988226,-0.24451936934124252,0.6092919831955961,0.9954989481506058,0.8917190255075963,-2967.9880927667837,-6642.553413895036,1414.7512748635424,13578.152027973214,6404.000000000001,13577.299171574408,0.917916565954428,0.3006438559284583,0.3175017515036052,1633,1559,0.8545708531891079,0.881603600047269,210.1392728472542,0.0,25,0.9620669530183388,-0.7942751642589537,1.6201192974996221,0.8941148351083232,0.9817620111607038,0.4261806464098367,-0.17522100758711054,0.5738193288800446,0.7423006367247138,0.9847613598219471
0.9,1,1.5146475955500731,1000,5,200.0,0.43588989435406733,0.2,[2.14203517 0.93369148],1,10000000,0.38162648495508694,-0.24358315973292075,0.6183730006684388,1.011509240116354,0.8942171840251294,-3219.8099722495763,-6627.8687719920945,1361.673623539368,13600.4133509084,6616.440000000001,13599.532469472855,0.9174412696091763,0.30114528814753966,0.3175017515036052,1581,1489,0.8491970955195874,0.8845200278379434,185.5468174980807,0.0,25,0.8778912332994285,-0.7488095274139446,1.545369339873489,0.898401447492833,0.995031328605698,0.4216062689018824,-0.17787319779076796,0.5783919475826445,0.7482452505108205,0.9929544558271579
0.9,1,1.5146475955500731,1000,5,200.0,0.43588989435406733,0.2,[2.14203517 0.93369148],1,10000000,0.39976069643259365,-0.2579049040960202,0.6002391281842808,0.9706936302708581,0.8990232744350973,-2579.6301851078956,-6639.237326042718,1355.2459005571723,12867.280302805728,6091.640000000001,12866.535663158604,0.9181004508592836,0.3004489667279977,0.3175017515036052,1579,1503,0.8483473873656024,0.8787190268721933,207.3006996255263,0.0,25,0.9247151861991902,-0.7765027056966882,1.4775664594326543,0.902169448805037,0.9563978328933767,0.432827837426043,-0.18776828867901812,0.5671712560598965,0.7551473545100745,0.9571736563779243
0.9,1,1.5146475955500731,1000,5,200.0,0.43588989435406733,0.2,[2.14203517 0.93369148],1,10000000,0.3846839109252914,-0.2620749562095321,0.6153161341382437,0.992597259975013,0.9065702317912867,-3120.573106401457,-7094.303069721809,1452.339188221961,13530.17548329869,6175.160000000001,13529.318330693417,0.9218311002273321,0.29638408444434783,0.3175017515036052,1694,1594,0.8571676197577597,0.890107295520777,230.85262285312763,0.0,25,0.9616822573803375,-0.8662783805030037,1.6828335265004706,0.9111321402802146,0.9826099141319073,0.420270110961565,-0.1923977759577378,0.5797275323832995,0.7668745204806762,0.9818252087996819
0.9,1,1.5146475955500731,1000,5,200.0,0.43588989435406733,0.2,[2.14203517 0.93369148],1,10000000,0.37596009961624105,-0.25642682900902886,0.6240397556159807,1.0106021820545428,0.9054379984245758,-3426.3687066740918,-7085.738979970973,1456.0023081532108,13811.522646286801,6334.880000000001,13810.701356862599,0.9232227509065929,0.2948114685881149,0.3175017515036052,1679,1618,0.8676834740249656,0.8869210383416156,228.3405875221382,0.0,25,0.9709981574251795,-0.8610051504547023,1.7360148090365204,0.9059855585207989,0.9944324287827325,0.41782935431570295,-0.1850167386418173,0.5821631416658846,0.7592082325681786,0.9943686624449287
0.9,1,1.5146475955500731,1000,5,200.0,0.43588989435406733,0.2,[2.14203517 0.93369148],1,10000000,0.3781100726764621,-0.23694327974793616,0.6218895738133295,1.0228859263832337,0.8905483002218854,-3183.8188719956343,-6191.295209096419,1397.2913158360536,13060.397378770134,6321.080000000001,13059.60533917372,0.902359057384328,0.3154996188437533,0.3175017515036052,1604,1522,0.8187880658495704,0.8610463870936054,180.74117046176772,0.0,25,0.8802902723174495,-0.7375172592395962,1.5639863663213598,0.893811260692499,1.0024148935011248,0.42012825706385537,-0.172882363527867,0.579859307006869,0.7427314444070581,1.0017776583471258
0.9,1,1.5146475955500731,1000,5,200.0,0.43588989435406733,0.2,[2.14203517 0.93369148],1,10000000,0.38115848755803144,-0.2699475422392863,0.6188399087263724,0.9926962678862796,0.9130034660574253,-3428.196363773974,-7789.467599643083,1392.1664885279702,14423.08570254123,6940.480000000001,14422.131426284235,0.9257025900943687,0.29192900905507546,0.3175017515036052,1639,1548,0.8609896697869495,0.8910284558858345,268.23446502044095,0.0,25,1.0464100123293836,-0.9621367892258498,1.806945850101561,0.9168870388595792,0.973593108394022,0.42048672499155837,-0.20163985322322994,0.5795098272500272,0.7776988767964775,0.9732002744553417
0.9,1,1.5146475955500731,1000,5,200.0,0.43588989435406733,0.2,[2.14203517 0.93369148],1,10000000,0.3731667583753419,-0.24451536165190677,0.6268329169584792,1.0245771187136588,0.8980200431927498,-3538.1327246414494,-6823.450192609396,1500.534284283741,13947.912281853214,6410.000000000001,13946.971453655093,0.9160799994948504,0.3025632577451457,0.3175017515036052,1724,1653,0.8533713673586228,0.8785637554038758,216.13170545368428,0.0,25,0.9593609017042928,-0.8390211904912669,1.743901882520477,0.9017903153881701,1.0040675214823054,0.4153994999441415,-0.1795172046734757,0.5845917373247246,0.7538332545500861,1.005587169337369
0.9,1,1.5146475955500731,1000,5,200.0,0.43588989435406733,0.2,[2.14203517 0.93369148],1,10000000,0.39748016437643363,-0.22778794072612268,0.6025191202318343,0.996785234347706,0.8757178332956933,-2689.4435734122794,-5977.815705971547,1316.6965920793855,13116.776771082703,6527.040000000001,13115.971931210115,0.9111702569844622,0.30746398469940694,0.3175017515036052,1530,1460,0.83176352775042,0.86599786758236,172.32034184612917,0.0,25,0.906356227803395,-0.7000835052254448,1.5028314759488863,0.879941342607228,0.9867580788509783,0.42979378787219796,-0.1638784511419294,0.5702016291155471,0.7250450688157174,0.9877674933286763
0.9,1,1.5146475955500731,1000,5,200.0,0.43588989435406733,0.2,[2.14203517 0.93369148],1,10000000,0.3910831059828173,-0.24707856722003588,0.6089158124680403,0.9929259047867827,0.893555542435325,-3100.65436195171,-7036.467359791938,1477.2578840457866,14234.25048729929,6835.3600000000015,14233.330462239821,0.9068148548497127,0.31155070602784196,0.3175017515036052,1720,1616,0.8171676738169287,0.8662022924100813,216.6672867990315,0.0,25,1.0589099861840015,-0.8889944171105483,1.7874263025710369,0.8977829035004175,0.9798362405849717,0.42497812947600955,-0.1803951621056826,0.5750163215275613,0.7496154867341033,0.9824498709349166
0.9,1,1.5146475955500731,1000,5,200.0,0.43588989435406733,0.2,[2.14203517 0.93369148],1,10000000,0.3924210461878718,-0.2371586974222252,0.6075789743303222,0.998260120436354,0.8853323466483901,-2966.173580408488,-6541.265264013338,1404.151837727851,13786.008207151865,6705.200000000002,13785.171802174824,0.9109699281609382,0.30765715142454897,0.3175017515036052,1627,1542,0.8337102699001604,0.871262955213772,189.36679169097468,0.0,25,0.9538183965623125,-0.7666223613145842,1.6202795453980507,0.8874105975137038,0.9904160326585763,0.4278718428261247,-0.17004890816894144,0.5721254274941098,0.7345306205469208,0.9859747636301298
0.9,1,1.5146475955500731,1000,5,200.0,0.43588989435406733,0.2,[2.14203517 0.93369148],1,10000000,0.3798209134991769,-0.2704886504429561,0.6201778144285947,0.9943966245165633,0.9137559421200637,-3245.218529446229,-7306.218024979014,1371.8499394285102,13501.232841740739,6181.280000000002,13500.385864772958,0.9339565695438591,0.2815221187744111,0.3175017515036052,1619,1511,0.8801892476415014,0.9084136584332854,231.8576695785021,0.0,25,0.9415970077161189,-0.8678905511013152,1.6637876723228493,0.9155789027108757,0.9825355938277835,0.41683595549446056,-0.1969036549783397,0.5831633090234084,0.7739129032192741,0.9852131863121945
0.9,1,1.5146475955500731,1000,5,200.0,0.43588989435406733,0.2,[2.14203517 0.93369148],1,10000000,0.37691104333318626,-0.2425573326044375,0.6230886855726613,1.0201341254590903,0.8951893931911307,-3201.3194248746186,-6310.483821853666,1304.5716693872348,13004.051642203793,6372.3200000000015,13003.286252430466,0.9182549776124845,0.30028480522418954,0.3175017515036052,1504,1436,0.8562168202484477,0.8827283897038358,189.99625765251616,0.0,25,0.8674926678300602,-0.7402013400237344,1.5628197287273518,0.8969572346606995,1.0049507304686778,0.4175920362190636,-0.17557003113468803,0.5824054957948693,0.7476430823013458,1.004819194496867
0.9,1,1.5146475955500731,1000,5,200.0,0.43588989435406733,0.2,[2.14203517 0.93369148],1,10000000,0.39381638797293017,-0.2502374628898659,0.6061831530600277,0.985987740220485,0.8950581789008067,-2843.4584622174048,-6703.363403962971,1389.2196337170626,13389.456844282218,6391.3200000000015,13388.644283055119,0.9158429161542819,0.30280750369529486,0.3175017515036052,1595,1520,0.8532925123790241,0.8815798126785016,202.95536594596243,0.0,25,0.9575214675407021,-0.8059314694738006,1.5930700973761445,0.8994624115890308,0.9731872401504605,0.4290615486818451,-0.18161704276450916,0.5709364125853746,0.7490719179427524,0.9715813224468078
0.9,1,1.5146475955500731,1000,5,200.0,0.43588989435406733,0.2,[2.14203517 0.93369148],1,10000000,0.38901336432928124,-0.25511723786439455,0.6109866199810288,0.9905110018854135,0.9002325330114622,-2942.5060453744554,-6765.944269481884,1338.0606304309883,13256.246932857213,6368.160000000002,13255.435378748063,0.9220562662923015,0.29613177251369033,0.3175017515036052,1534,1469,0.8684920621750195,0.8903534116152899,206.9007101900625,0.0,25,0.9240316859726959,-0.7954696246761487,1.588098929649373,0.9021873345732336,0.9831085305559142,0.42513296519437865,-0.18325829536099467,0.5748593913769726,0.7531639545815803,0.9793095154549412
0.9,1,1.5146475955500731,1000,5,200.0,0.43588989435406733,0.2,[2.14203517 0.93369148],1,10000000,0.39150927655230816,-0.2704871758182085,0.6084902703810969,0.9760677180587597,0.9104193509024681,-3011.1962914284554,-7509.848971402782,1430.3992748911132,13877.434142467748,6400.280000000002,13876.523408570421,0.9266685936673711,0.2907773498796128,0.3175017515036052,1687,1587,0.8623731525364235,0.8936471943630999,225.4949716828073,0.0,25,1.0294016310425171,-0.9236316122120243,1.7320361889417417,0.9134000386715146,0.9671311878254121,0.4258772325696736,-0.19680284945319768,0.5741221020988315,0.7695074052526598,0.96549892099712
