kappa,angle_rad,a_parameter,field_size,unit_length,T_parameter,gstools_model_anis_ratio,gstools_model_rescale_factor,gstools_model_len_scale,level_val,total_points_generated,sigma_emp_xx,sigma_emp_xy,sigma_emp_yy,estimated_angle_cabana,estimated_kappa_cabana,empirical_cosine_cabana,empirical_sine_cabana,euler_characteristic,perimeter,volume_sublevel_set,perimeter_cabana,estimated_kappa_BD,statistics_BD,mean_statistics_BD,euler_characteristic_scikit_1,euler_characteristic_scikit_2,estimated_kappa_BD_scikit_1,estimated_kappa_BD_scikit_2
0,1,1.0,1000,5,200.0,1.0,0.2,[1.41421356 1.41421356],0,10000000,0.49870508543650527,0.017355675359986254,0.5012938628541206,2.319558576144756,0.2976721413859874,-49.074823689099894,668.564847497255,-41.014623987890594,19275.186102694326,20263.200000000004,19274.20282323699,,0.42714667011298263,0.4052847345693511,27,9,0.9342022836706574,0.9953253958936368
0,1,1.0,1000,5,200.0,1.0,0.2,[1.41421356 1.41421356],0,10000000,0.4984468730503249,-0.014139543537361694,0.5015508483400507,0.8393686923881952,0.27046202317407203,-60.77837783999683,-560.8815305949846,-14.895469446783617,19810.9804241542,19968.200000000004,19809.905046206033,,1.2156655039886943,0.4052847345693511,58,32,,
0,1,1.0,1000,5,200.0,1.0,0.2,[1.41421356 1.41421356],0,10000000,0.48873579186544786,-0.015083474800247108,0.5112612872397834,1.1054262450049674,0.3091462108335569,-444.94592903917896,-597.5387213187265,-13.504046222033057,19787.234447905354,20063.680000000004,19786.207198926262,,0.5516786245530567,0.4052847345693511,72,39,,
0,1,1.0,1000,5,200.0,1.0,0.2,[1.41421356 1.41421356],0,10000000,0.4916258441595414,-0.03208579443327559,0.5083739814012842,0.9126963258525678,0.40295862920364056,-340.1218394465419,-1306.9358614464738,21.304524420645194,20354.17326971642,19777.960000000003,20352.972116098128,0.9605933644697265,0.23587273230257005,0.4052847345693511,112,77,,
0,1,1.0,1000,5,200.0,1.0,0.2,[1.41421356 1.41421356],0,10000000,0.5126861670954629,0.0013864036375755685,0.4873138389369415,1.5170202997549413,0.2566908913858718,505.29281970969845,54.55580013051839,-0.9578161703884788,19888.614647770126,19921.040000000005,19887.49038458244,0.9995078372556155,0.03123625615620377,0.4052847345693511,73,50,,
0,1,1.0,1000,5,200.0,1.0,0.2,[1.41421356 1.41421356],0,10000000,0.520939074435782,-0.007437722021517129,0.47905786803723693,1.7415987209947343,0.3346253601342599,838.106901291431,-297.98346137588817,-6.101116970548022,19987.649049022642,19922.880000000005,19986.55453661442,0.973759554376117,0.201702946837041,0.4052847345693511,72,52,,
0,1,1.0,1000,5,200.0,1.0,0.2,[1.41421356 1.41421356],0,10000000,0.5055995025358603,-0.042973664786242524,0.4943991830643035,2.2912331034443216,0.4548645432709278,228.71076987251843,-1750.4432791869128,-36.63898199121977,20357.159770308837,20066.680000000004,20356.138511475834,,1.3505432206686798,0.4052847345693511,31,9,,0.8809317862148237
0,1,1.0,1000,5,200.0,1.0,0.2,[1.41421356 1.41421356],0,10000000,0.4831054047023157,0.004779225462323809,0.5168946611074411,1.7083537962209447,0.29885365382063334,-683.9857519034229,193.07051064947456,29.182481383615205,20266.673933130776,20000.520000000004,20265.47647595586,,139.17268894559328,0.4052847345693511,102,75,,
0,1,1.0,1000,5,200.0,1.0,0.2,[1.41421356 1.41421356],0,10000000,0.5039539295233278,-0.01576995372797793,0.49604453467281884,2.2328403630834144,0.2884474918134456,168.52919313479265,-669.1955424474802,-20.210660678738307,21192.71571915607,20085.400000000005,21191.398613409117,,0.5367119046342403,0.4052847345693511,69,31,,
0,1,1.0,1000,5,200.0,1.0,0.2,[1.41421356 1.41421356],0,10000000,0.49650484937725603,-0.008755816521115047,0.5034947293234654,0.9740965086173969,0.2215517845135985,-134.40139550104334,-339.0573501320016,24.19526963230456,19327.20243311369,19866.800000000003,19326.266148172104,,0.4952998347283771,0.4052847345693511,100,81,,
