kappa,angle_rad,a_parameter,field_size,unit_length,T_parameter,gstools_model_anis_ratio,gstools_model_rescale_factor,gstools_model_len_scale,level_val,total_points_generated,sigma_emp_xx,sigma_emp_xy,sigma_emp_yy,estimated_angle_cabana,estimated_kappa_cabana,empirical_cosine_cabana,empirical_sine_cabana,euler_characteristic,perimeter,volume_sublevel_set,perimeter_cabana,estimated_kappa_BD,statistics_BD,mean_statistics_BD,euler_characteristic_scikit_1,euler_characteristic_scikit_2,estimated_kappa_BD_scikit_1,estimated_kappa_BD_scikit_2,chi2_statistic,chi2_pvalue,factor_divide
0.9,1,1.5146475955500731,1000,5,200.0,0.43588989435406733,0.2,[2.14203517 0.93369148],0,10000000,0.38069549409251247,-0.2419111723496859,0.6193043472332591,1.0144417470721827,0.8932687875000067,-5269.418545332677,-10686.987654453558,39.616250639721784,22085.828950094172,19898.240000000005,22084.19622330501,,0.8129375712111192,0.3175017515036052,149,75,,,319.4800841179811,0.0,10
0.9,1,1.5146475955500731,1000,5,200.0,0.43588989435406733,0.2,[2.14203517 0.93369148],0,10000000,0.3794929010239629,-0.22923748133589783,0.6205069249657248,1.027348789936252,0.8840202946109668,-5256.429443135409,-10001.205363927511,-43.84973290095655,21811.436858701374,20021.320000000003,21809.6531436743,,4.403629660515848,0.3175017515036052,63,-21,,,278.6645194570237,0.0,10
0.9,1,1.5146475955500731,1000,5,200.0,0.43588989435406733,0.2,[2.14203517 0.93369148],0,10000000,0.3712163935419532,-0.2555297252997945,0.628782681464993,1.0187741255782057,0.9063970610637091,-5847.3226967735,-11604.44545358658,4.863770440317885,22703.749798547768,20145.280000000002,22701.654460265403,0.9977374435939914,0.06615278936772465,0.3175017515036052,146,9,,0.9917163416476578,243.6405177737755,0.0,10
0.9,1,1.5146475955500731,1000,5,200.0,0.43588989435406733,0.2,[2.14203517 0.93369148],0,10000000,0.3783766124712466,-0.25551708379432153,0.6216230761248001,1.0074865363074603,0.9039554983941416,-5454.772385686383,-11462.180847462876,-6.590843490379447,22426.738216033842,19954.040000000005,22424.903700704464,0.9269655708409014,0.2904199561127919,0.3175017515036052,122,4,,0.9810925698628791,251.93944669258138,0.0,10
0.9,1,1.5146475955500731,1000,5,200.0,0.43588989435406733,0.2,[2.14203517 0.93369148],0,10000000,0.3990113196754961,-0.23231228149011102,0.600984134333525,0.9903832281023326,0.8789206376113397,-4356.476230687163,-10024.2048253205,-18.975071203786833,21571.929584848767,19983.560000000005,21570.364677929607,,2.526407555062123,0.3175017515036052,92,-2,,0.944355598968759,263.31188564924753,0.0,10
0.9,1,1.5146475955500731,1000,5,200.0,0.43588989435406733,0.2,[2.14203517 0.93369148],0,10000000,0.4003957443022982,-0.24649929638366788,0.5996036572504565,0.9773633048581918,0.8900046129425622,-4414.629807222081,-10927.918408514877,27.051493256841535,22163.387873771746,19844.600000000002,22161.767331471903,0.8221919472735408,0.36094462814048306,0.3175017515036052,145,59,,,285.4161024044603,0.0,10
0.9,1,1.5146475955500731,1000,5,200.0,0.43588989435406733,0.2,[2.14203517 0.93369148],0,10000000,0.39574680217499164,-0.24064333081442446,0.6042520408324954,0.9897658811535419,0.8868935390645527,-4450.032385064552,-10274.160039919552,-7.008935260774993,21344.68768484621,20105.520000000004,21343.212986723316,0.9872810085482362,0.14849953803452687,0.3175017515036052,103,28,,,212.6967138231273,0.0,10
0.9,1,1.5146475955500731,1000,5,200.0,0.43588989435406733,0.2,[2.14203517 0.93369148],0,10000000,0.3785455320663378,-0.2332136953382093,0.6214528003525025,1.0254251938091152,0.8874939661322674,-5301.053153550056,-10181.027962909357,86.64792237529757,21824.659996639333,19664.440000000002,21823.167053037334,,0.5520330225246955,0.3175017515036052,188,140,,,398.8223367278925,0.0,10
0.9,1,1.5146475955500731,1000,5,200.0,0.43588989435406733,0.2,[2.14203517 0.93369148],0,10000000,0.3721769838799349,-0.2503680617211569,0.6278223833187864,1.0213739164419215,0.9024928621916251,-5844.119832188968,-11449.553382527245,16.25361826646092,22862.298955489387,19923.720000000005,22860.26045179049,,0.41523414850032825,0.3175017515036052,161,26,,,205.11019858521175,0.0,10
0.9,1,1.5146475955500731,1000,5,200.0,0.43588989435406733,0.2,[2.14203517 0.93369148],0,10000000,0.3909858478665892,-0.2785108464548574,0.6090140146242804,0.9719010285715963,0.9159534963579968,-5032.649470417501,-12860.532817124134,20.285322041642388,23085.031033373365,20094.000000000004,23083.028031707057,,0.4124612816290716,0.3175017515036052,172,11,,0.9658123308381543,281.0530836909884,0.0,10
