kappa,angle_rad,a_parameter,field_size,unit_length,T_parameter,gstools_model_anis_ratio,gstools_model_rescale_factor,gstools_model_len_scale,level_val,total_points_generated,sigma_emp_xx,sigma_emp_xy,sigma_emp_yy,estimated_angle_cabana,estimated_kappa_cabana,empirical_cosine_cabana,empirical_sine_cabana,euler_characteristic,perimeter,volume_sublevel_set,perimeter_cabana,estimated_kappa_BD,statistics_BD,mean_statistics_BD,euler_characteristic_scikit_1,euler_characteristic_scikit_2,estimated_kappa_BD_scikit_1,estimated_kappa_BD_scikit_2,chi2_statistic,chi2_pvalue,factor_divide
0.5,1,1.074569931823542,1000,5,200.0,0.8660254037844385,0.2,[1.51967137 1.31607401],0,10000000,0.4495194208157039,-0.027934265841612946,0.5504780306540561,1.3178414971044767,0.5155619858149685,-1996.2638343111707,-1105.9317795878303,2.5955235293730685,19780.490677536804,19929.680000000004,19779.332117244034,0.9950734715651284,0.09608740626493728,0.40215806241809526,77,44,,,11.072867486008088,0.003940554840976329,10
0.5,1,1.074569931823542,1000,5,200.0,0.8660254037844385,0.2,[1.51967137 1.31607401],0,10000000,0.4960190806729137,-0.06516965075872731,0.503979886679227,0.8157470276896485,0.5435853344410222,-155.106609656954,-2552.2549932966904,20.902045792986467,19574.815462324557,19894.400000000005,19573.610634303757,,0.5261589354898067,0.40215806241809526,103,69,,,16.60188637811012,0.00024828253926290067,10
0.5,1,1.074569931823542,1000,5,200.0,0.8660254037844385,0.2,[1.51967137 1.31607401],0,10000000,0.46231147052581606,-0.033302607629146865,0.5376877590102137,1.2086987325175282,0.4857325499301989,-1490.0637449960532,-1317.987733012398,-37.3550058070886,19777.22845673297,20197.720000000005,19776.172803025074,,0.491952306514718,0.40215806241809526,32,9,,0.9922775795403559,6.6467815621403075,0.03603045301351382,10
0.5,1,1.074569931823542,1000,5,200.0,0.8660254037844385,0.2,[1.51967137 1.31607401],0,10000000,0.48497213484027735,-0.033818615708181794,0.515027325911886,0.9941409917978679,0.4236098832352286,-596.891229899064,-1345.6827182457678,14.46836966051135,19884.50685197404,19907.720000000005,19883.49442017843,0.41718645823362377,0.4038990061252894,0.40215806241809526,87,68,,,4.922899816455192,0.0853111678877273,10
0.5,1,1.074569931823542,1000,5,200.0,0.8660254037844385,0.2,[1.51967137 1.31607401],0,10000000,0.46526846033724,-0.028457754482803747,0.5347314709483723,1.2272891245600392,0.4619960326020911,-1410.2699990961348,-1156.8855271266787,13.77048768515291,20313.090228551417,19966.760000000006,20311.851651402758,,1.02266916193356,0.40215806241809526,93,64,,,10.693311463717384,0.0047640566711202315,10
0.5,1,1.074569931823542,1000,5,200.0,0.8660254037844385,0.2,[1.51967137 1.31607401],0,10000000,0.46569399884931667,-0.029892867657837024,0.5343053168370818,1.2120986150051511,0.46473419133055816,-1381.5128247924636,-1205.328840203142,-16.842792924423446,20147.26945545178,20107.640000000003,20146.083025397482,0.6649299946521565,0.3926403809041161,0.40215806241809526,58,34,,,7.510847840307909,0.023390532788916674,10
0.5,1,1.074569931823542,1000,5,200.0,0.8660254037844385,0.2,[1.51967137 1.31607401],0,10000000,0.47273918531059556,-0.04697388440764636,0.5272596022574323,1.0480797055208995,0.5023345787523573,-1105.6891148907932,-1907.3303815003842,57.191050653413605,20293.310936565795,19857.160000000003,20291.98665608778,,0.9902601919856898,0.40215806241809526,142,114,,,8.20938977949296,0.016495050879815065,10
0.5,1,1.074569931823542,1000,5,200.0,0.8660254037844385,0.2,[1.51967137 1.31607401],0,10000000,0.5028609081461766,-0.05015266647338184,0.4971388195868661,2.3275108184097606,0.4855773425110081,116.9716859814889,-2036.7570144703864,-28.651734929084764,20297.067415857622,20123.320000000003,20295.932279587036,,0.5744253988453245,0.40215806241809526,64,26,,,15.514380244871486,0.00042765655656695767,10
0.5,1,1.074569931823542,1000,5,200.0,0.8660254037844385,0.2,[1.51967137 1.31607401],0,10000000,0.49538393991189916,-0.06354503672904281,0.5046156963491248,0.8214787487195642,0.5379843450584658,-180.56226008933027,-2497.8633191950776,-35.68557509471519,19647.596630436972,20109.600000000002,19646.35603891667,,0.8591118846903977,0.40215806241809526,31,-1,,0.9997086066905809,19.11470367007307,7.067972261520783e-05,10
0.5,1,1.074569931823542,1000,5,200.0,0.8660254037844385,0.2,[1.51967137 1.31607401],0,10000000,0.48896297039553205,-0.04885666970795739,0.5110356947784577,0.8962157773493373,0.4849244628481442,-450.9334877450166,-2001.1511130480567,-36.00964750474615,20471.392389468005,20075.520000000004,20470.192109392017,,1.158926101766022,0.40215806241809526,42,1,,0.9994772737957663,11.437318266303793,0.0032841115076174265,10
