kappa,angle_rad,a_parameter,field_size,unit_length,T_parameter,gstools_model_anis_ratio,gstools_model_rescale_factor,gstools_model_len_scale,level_val,total_points_generated,sigma_emp_xx,sigma_emp_xy,sigma_emp_yy,estimated_angle_cabana,estimated_kappa_cabana,empirical_cosine_cabana,empirical_sine_cabana,euler_characteristic,perimeter,volume_sublevel_set,perimeter_cabana,estimated_kappa_BD,statistics_BD,mean_statistics_BD,euler_characteristic_scikit_1,euler_characteristic_scikit_2,estimated_kappa_BD_scikit_1,estimated_kappa_BD_scikit_2,chi2_statistic,chi2_pvalue,factor_divide
0.9,1,1.5146475955500731,1000,5,200.0,0.43588989435406733,0.2,[2.14203517 0.93369148],1,10000000,0.3610338382140801,-0.23580538699562292,0.6389649936988094,1.051593999492451,0.8965929341049325,-3698.279269734557,-6277.481275971959,1454.077712008648,13306.201599096185,6171.600000000001,13305.266719354091,0.9120774390859048,0.30658274546358827,0.3175017515036052,1674,1607,0.8420093937093316,0.8696381235995866,183.9988549412781,0.0,25
0.9,1,1.5146475955500731,1000,5,200.0,0.43588989435406733,0.2,[2.14203517 0.93369148],1,10000000,0.4021711480811094,-0.2529402404393892,0.5978283788401345,0.9698598965432135,0.8945382883852577,-2626.709005641623,-6793.9416605948345,1448.2344950225172,13425.160607051082,6185.480000000001,13424.337137316727,0.9177306470943897,0.30084039341187946,0.3175017515036052,1686,1602,0.8479706150760383,0.8793670338046969,204.79064736085238,0.0,25
0.9,1,1.5146475955500731,1000,5,200.0,0.43588989435406733,0.2,[2.14203517 0.93369148],1,10000000,0.3849220705534383,-0.2543343593213392,0.6150753865810263,0.9977818423215347,0.9009893684761553,-3077.0631472372434,-6803.103038675854,1470.3505717617813,13369.6540624305,6034.880000000001,13368.78634349996,0.9200961575617504,0.2983011859859369,0.3175017515036052,1700,1605,0.858722133292964,0.8896676642004913,212.1511070165727,0.0,25
0.9,1,1.5146475955500731,1000,5,200.0,0.43588989435406733,0.2,[2.14203517 0.93369148],1,10000000,0.357288368777368,-0.23862844266308042,0.642710883884465,1.0548144478299086,0.9000973734364432,-3869.728793039372,-6472.80884146733,1469.289695895486,13557.898859480112,6261.960000000001,13556.993433744872,0.9145787627696129,0.3040965307823856,0.3175017515036052,1687,1590,0.8502327634345516,0.8848429501148052,221.85293126027213,0.0,25
0.9,1,1.5146475955500731,1000,5,200.0,0.43588989435406733,0.2,[2.14203517 0.93369148],1,10000000,0.367480586769246,-0.24455898095600778,0.6325192561285988,1.0336183978395457,0.900185635630492,-3547.273905635235,-6548.5363494347985,1398.9187015664663,13383.924781169408,6410.000000000001,13383.095541071742,0.9123178739427684,0.3063473878863187,0.3175017515036052,1612,1537,0.8418787095076686,0.8733663065514394,196.89862319283583,0.0,25
0.9,1,1.5146475955500731,1000,5,200.0,0.43588989435406733,0.2,[2.14203517 0.93369148],1,10000000,0.381830608507634,-0.24431776943344827,0.6181678218243895,1.0105815917935166,0.894689308108966,-3159.7309088776424,-6535.018003878851,1350.3056338589768,13369.639410393313,6505.480000000001,13368.855382713356,0.9164586654396892,0.3021714942424531,0.3175017515036052,1557,1488,0.8517395576111301,0.879057036887232,186.13770723023708,0.0,25
0.9,1,1.5146475955500731,1000,5,200.0,0.43588989435406733,0.2,[2.14203517 0.93369148],1,10000000,0.41298476661192157,-0.24787249038461334,0.5870147718635359,0.9541383461390418,0.8873298550178981,-2290.61994695468,-6527.759185035971,1431.3438227978015,13162.955176634165,6196.920000000001,13162.172212537029,0.9084545621897168,0.3100394960848075,0.3175017515036052,1654,1584,0.8292524218504741,0.8620684461442418,190.50518356251965,0.0,25
0.9,1,1.5146475955500731,1000,5,200.0,0.43588989435406733,0.2,[2.14203517 0.93369148],1,10000000,0.38169174917438475,-0.2480619623492608,0.6183064633671405,1.0078362390834639,0.8975093729678926,-3388.910381137517,-7108.3422637351105,1427.1672365295328,14322.873402143347,6839.440000000001,14321.991747395512,0.92081491680815,0.2975127090259641,0.3175017515036052,1649,1568,0.8608624229751145,0.8879526846947142,216.44398642400728,0.0,25
0.9,1,1.5146475955500731,1000,5,200.0,0.43588989435406733,0.2,[2.14203517 0.93369148],1,10000000,0.39966363843505864,-0.24810364307062033,0.6003347321017193,0.9774883349302408,0.8915395861089925,-2648.558231710176,-6551.4896769363295,1362.6006361995842,13198.736152741098,6420.120000000001,13197.985979860094,0.9111701598223894,0.3074640785126951,0.3175017515036052,1566,1511,0.8410838963714837,0.865957833559842,196.95633405039797,0.0,25
0.9,1,1.5146475955500731,1000,5,200.0,0.43588989435406733,0.2,[2.14203517 0.93369148],1,10000000,0.3718900320797149,-0.25380497036647026,0.6281085334116117,1.0190594489394735,0.9050161020390957,-3351.6473223693683,-6642.157836289203,1407.7657840225484,13080.735982326354,6110.040000000001,13079.893178745677,0.915488765624495,0.30317087500901796,0.3175017515036052,1656,1542,0.8333543656456258,0.8804332675613462,214.26612870966068,0.0,25
0.9,1,1.5146475955500731,1000,5,200.0,0.43588989435406733,0.2,[2.14203517 0.93369148],1,10000000,0.386677748558118,-0.234526776280586,0.6133221869453778,1.0103847470214489,0.8853747813900362,-3035.010987873155,-6283.380805229748,1394.9200954882058,13391.256841065342,6450.4000000000015,13390.40974917352,0.9109530451836538,0.30767340729211184,0.3175017515036052,1602,1530,0.8411105988564299,0.8719162811275265,183.88320094611078,0.0,25
0.9,1,1.5146475955500731,1000,5,200.0,0.43588989435406733,0.2,[2.14203517 0.93369148],1,10000000,0.37722070332812413,-0.24249304798342428,0.6227787925564314,1.0196783757821537,0.8950250565371348,-3107.4435616436945,-6139.297739931219,1336.1915694152915,12654.64928831246,6104.480000000001,12653.96128976524,0.9115475964993043,0.30709873252677244,0.3175017515036052,1535,1482,0.8423715914865314,0.8665559802291612,175.37598068320614,0.0,25
0.9,1,1.5146475955500731,1000,5,200.0,0.43588989435406733,0.2,[2.14203517 0.93369148],1,10000000,0.3902324781147526,-0.24442745709300936,0.609766368138368,0.996376890788053,0.8918042692286006,-2692.5158366401542,-5997.730723624147,1361.8948155923326,12264.986107427907,5818.800000000001,12264.308064919067,0.9048619435919352,0.3133091995152536,0.3175017515036052,1555,1517,0.8306083189292786,0.8505730887352781,166.4565443901148,0.0,25
0.9,1,1.5146475955500731,1000,5,200.0,0.43588989435406733,0.2,[2.14203517 0.93369148],1,10000000,0.37546284505308625,-0.24501582188499643,0.6245369431102694,1.0204558408912625,0.8975273529701642,-3270.7248887537626,-6437.027979913496,1449.8129603286682,13131.392191560462,6049.160000000001,13130.536341932408,0.9128371513762983,0.30583647605727743,0.3175017515036052,1679,1584,0.8391919155755373,0.8772654018110747,192.2087552945648,0.0,25
0.9,1,1.5146475955500731,1000,5,200.0,0.43588989435406733,0.2,[2.14203517 0.93369148],1,10000000,0.388036507853677,-0.2500500598422647,0.6119635487163478,0.995821585271739,0.8968264884962596,-3141.099961787057,-7017.8274293346185,1601.7585829890065,14027.277540824578,6244.080000000001,14026.271092449697,0.9100420518217356,0.3085451821956958,0.3175017515036052,1855,1762,0.8316288277586316,0.8686357289989314,236.28806215959835,0.0,25
0.9,1,1.5146475955500731,1000,5,200.0,0.43588989435406733,0.2,[2.14203517 0.93369148],1,10000000,0.36846420546174385,-0.2666095181495581,0.6315356723639851,1.014503110159287,0.9147042483890744,-3540.9990511122032,-7179.332340083845,1487.6566125250722,13459.565055336056,5917.880000000001,13458.569915812024,0.9269904686445732,0.29038992104774597,0.3175017515036052,1774,1627,0.8560306872450496,0.899894772317872,219.35315813511042,0.0,25
0.9,1,1.5146475955500731,1000,5,200.0,0.43588989435406733,0.2,[2.14203517 0.93369148],1,10000000,0.373261980597062,-0.2598746716034107,0.6267362696846792,1.012209071522707,0.9086879884616657,-3315.58415704883,-6800.781814756101,1326.0962124796174,13080.608811524642,6275.560000000001,13079.895742410099,0.9224477372869091,0.29569115603040425,0.3175017515036052,1530,1462,0.8655901102976932,0.8891561757247152,215.9144917936232,0.0,25
0.9,1,1.5146475955500731,1000,5,200.0,0.43588989435406733,0.2,[2.14203517 0.93369148],1,10000000,0.394334033555645,-0.25463867272642005,0.6056651908844961,0.9820089104172818,0.898219327821667,-2934.937500983896,-7075.109437214726,1491.1899775666689,13887.477816040757,6410.560000000001,13886.453618708967,0.9153266650953249,0.3033366081573267,0.3175017515036052,1774,1651,0.822407316408914,0.8745663860438486,234.23038456834618,0.0,25
0.9,1,1.5146475955500731,1000,5,200.0,0.43588989435406733,0.2,[2.14203517 0.93369148],1,10000000,0.3842454058043455,-0.2530205587099654,0.6157542471899112,0.9998635574249158,0.9002636917408463,-3328.8509014544093,-7278.920477658228,1505.3456493371962,14378.897180391476,6708.040000000001,14377.896485777002,0.915301830881681,0.30336196640573243,0.3175017515036052,1745,1644,0.8448886992731179,0.8815941127459288,258.2599203459074,0.0,25
0.9,1,1.5146475955500731,1000,5,200.0,0.43588989435406733,0.2,[2.14203517 0.93369148],1,10000000,0.36614929046807126,-0.23620814196610018,0.6338501659648967,1.0430957333795443,0.894768693476047,-3598.4921701596477,-6352.558907141763,1333.5183509178776,13442.490028837878,6518.080000000001,13441.746391336952,0.9222216359274951,0.2959459451900738,0.3175017515036052,1529,1465,0.8687788326847365,0.8903332680351373,194.82440909936363,0.0,25
