kappa,angle_rad,a_parameter,field_size,unit_length,T_parameter,gstools_model_anis_ratio,gstools_model_rescale_factor,gstools_model_len_scale,level_val,total_points_generated,sigma_emp_xx,sigma_emp_xy,sigma_emp_yy,estimated_angle_cabana,estimated_kappa_cabana,empirical_cosine_cabana,empirical_sine_cabana,euler_characteristic,perimeter,volume_sublevel_set,perimeter_cabana,estimated_kappa_BD,statistics_BD,mean_statistics_BD,euler_characteristic_scikit_1,euler_characteristic_scikit_2,estimated_kappa_BD_scikit_1,estimated_kappa_BD_scikit_2,chi2_statistic,chi2_pvalue,factor_divide
0.5,1,1.074569931823542,1000,5,200.0,0.8660254037844385,0.2,[1.51967137 1.31607401],1,10000000,0.44216046221206134,-0.06741794907413738,0.557839477326242,1.1396079792576044,0.6168027449519877,-1400.863467975943,-1635.0243600957847,1414.5971067007467,12114.726739268623,6401.760000000001,12114.147816902754,0.7645952215038583,0.37744983187852005,0.40215806241809526,1578,1551,,,26.51016624756232,1.7514209574853723e-06,25
0.5,1,1.074569931823542,1000,5,200.0,0.8660254037844385,0.2,[1.51967137 1.31607401],1,10000000,0.4789575407311857,-0.06286299480301971,0.5210407795947861,0.9465468135604288,0.547196884705184,-523.0175865567919,-1566.1978647283468,1461.7873771368418,12443.690306764105,6373.000000000001,12443.102147311201,0.80263156269582,0.3675102551844042,0.40215806241809526,1628,1610,,0.33114679762517213,15.548633135135818,0.0004203946825594995,25
0.5,1,1.074569931823542,1000,5,200.0,0.8660254037844385,0.2,[1.51967137 1.31607401],1,10000000,0.4382626570576599,-0.06979492436633329,0.5617352502537385,1.1471699432191007,0.6285880820522357,-1591.0043040194373,-1801.0888794459363,1532.5365574695563,12890.353448035976,6511.880000000001,12889.70070673,0.7962697636968292,0.369408608149908,0.40215806241809526,1708,1695,,,33.189774342115975,6.207719338569007e-08,25
0.5,1,1.074569931823542,1000,5,200.0,0.8660254037844385,0.2,[1.51967137 1.31607401],1,10000000,0.47053889276494054,-0.05037981573643854,0.5294596481502915,1.0494847955798854,0.5182877324900168,-699.0401269333533,-1198.0824733317693,1428.8679911634642,11876.012406550153,6257.000000000001,11875.52001321857,0.7244445123581185,0.3850263547212581,0.40215806241809526,1575,1560,,,11.649798244041724,0.0029531020403140706,25
0.5,1,1.074569931823542,1000,5,200.0,0.8660254037844385,0.2,[1.51967137 1.31607401],1,10000000,0.48225547370069727,-0.042651086555190655,0.5177434578481813,0.981955377438562,0.4680779225184506,-444.92095822464756,-1072.8736073670423,1485.7852148512452,12558.559916869533,6593.160000000002,12557.956318022341,0.7332250126908569,0.38357241982133466,0.40215806241809526,1650,1629,,,8.559286580004562,0.013847600783229663,25
0.5,1,1.074569931823542,1000,5,200.0,0.8660254037844385,0.2,[1.51967137 1.31607401],1,10000000,0.48077838991035327,-0.059514893511119174,0.51921852249619,0.9412710781433956,0.5338662279200542,-409.7662939741938,-1271.564861076934,1310.1920260345044,10672.267884816618,5585.640000000001,10671.805567509686,0.7622009197590887,0.3779745902220404,0.40215806241809526,1449,1438,,,14.18823580340127,0.0008299725734957075,25
0.5,1,1.074569931823542,1000,5,200.0,0.8660254037844385,0.2,[1.51967137 1.31607401],1,10000000,0.46856281189451926,-0.03420081522305348,0.5314372051381029,1.1563931393882716,0.4691525252835694,-693.5072064697298,-756.4884891189238,1508.8091010954813,11039.371552447908,5357.120000000001,11038.848891616632,0.7178935792768352,0.38604708077945815,0.40215806241809526,1662,1644,,,8.01836697761029,0.018148207403339667,25
0.5,1,1.074569931823542,1000,5,200.0,0.8660254037844385,0.2,[1.51967137 1.31607401],1,10000000,0.47636935872196395,-0.07122816929699906,0.5236273158102843,0.9452717440747012,0.5761677583378971,-556.2999399705991,-1680.1120969967478,1324.4217851636529,11783.423930530194,6462.800000000001,11782.91763378613,0.7609734178197488,0.3782396075435678,0.40215806241809526,1476,1465,,,18.295062275608828,0.00010648236878818551,25
0.5,1,1.074569931823542,1000,5,200.0,0.8660254037844385,0.2,[1.51967137 1.31607401],1,10000000,0.46279150602513763,-0.0640457651814071,0.5372069136273093,1.0481817701186091,0.5730294487416254,-878.7158120130415,-1515.0851421184761,1397.0431215083859,11816.752424974868,6196.280000000002,11816.233949513371,0.7733668165496927,0.3754352504331038,0.40215806241809526,1547,1532,,,18.59753216260695,9.153711117459995e-05,25
0.5,1,1.074569931823542,1000,5,200.0,0.8660254037844385,0.2,[1.51967137 1.31607401],1,10000000,0.49534311293497396,-0.035493031144800256,0.5046556191149753,0.8501334790133643,0.41750081895840707,-108.40043948214655,-832.5754484645588,1386.7513349547885,11709.12939952853,6167.000000000001,11708.611074549455,0.7656200091046562,0.3772220178142735,0.40215806241809526,1544,1528,,,4.360061541809015,0.11303805230382113,25
