kappa,angle_rad,a_parameter,field_size,unit_length,T_parameter,gstools_model_anis_ratio,gstools_model_rescale_factor,gstools_model_len_scale,level_val,total_points_generated,sigma_emp_xx,sigma_emp_xy,sigma_emp_yy,estimated_angle_cabana,estimated_kappa_cabana,empirical_cosine_cabana,empirical_sine_cabana,euler_characteristic,perimeter,volume_sublevel_set,perimeter_cabana,estimated_kappa_BD,statistics_BD,mean_statistics_BD,euler_characteristic_scikit_1,euler_characteristic_scikit_2,estimated_kappa_BD_scikit_1,estimated_kappa_BD_scikit_2,chi2_statistic,chi2_pvalue,factor_divide,full_covariance_emp_gradients_xx,full_covariance_emp_gradients_xy,full_covariance_emp_gradients_yy,estimated_kappa_gradients,estimated_angle_gradients,full_correlation_emp_gradients_xx,full_correlation_emp_gradients_xy,full_correlation_emp_gradients_yy,estimated_kappa_normals,estimated_angle_normals
0.5,1,1.074569931823542,1000,5,200.0,0.8660254037844385,0.2,[1.51967137 1.31607401],2,10000000,0.5092846376924087,-0.021327107973669712,0.490714457991696,2.1508823337588967,0.34189020366429895,48.55737250387183,-111.53034184141649,645.7361477809507,2611.391625369167,855.6000000000001,2611.3436693669532,0.7347722097159972,0.3833055131954682,0.40215806241809526,714,713,,,2.001278758406245,0.3676443018870956,10,1.0107782601168256,-0.05110249818002578,0.9876535349084236,0.3156670718904568,0.6741422861892729,0.5014919217441808,-0.011403299146561385,0.49850725214956815,0.21205628094179227,0.7203335833654138
0.5,1,1.074569931823542,1000,5,200.0,0.8660254037844385,0.2,[1.51967137 1.31607401],2,10000000,0.5143434096767806,-0.03219726934506054,0.48565395109143583,2.146613474886916,0.41444741451258565,81.98777831274506,-184.00739720912398,671.9731627501884,2854.9507838057457,979.6800000000002,2854.899274137397,0.7251818754789925,0.3849081196228642,0.40215806241809526,751,745,,,4.83983412459991,0.08892899271966204,10,1.0623864200869049,-0.06903546861401218,1.0067527727971357,0.36637051120069936,0.5938810638424037,0.5069753245080142,-0.01585442965707556,0.4930243471611204,0.25877520539735616,0.5781568901377832
0.5,1,1.074569931823542,1000,5,200.0,0.8660254037844385,0.2,[1.51967137 1.31607401],2,10000000,0.47665963706472897,-0.06799417811407044,0.5233372759275466,0.9506114090628275,0.565920210195199,-110.47302102935974,-322.0774020510983,558.2917061897675,2367.5269774962712,815.8400000000001,2367.4899239774736,0.7335167908648034,0.3835223375376462,0.40215806241809526,616,612,,,16.416735573178237,0.0002723649163495212,10,0.8509174334997764,-0.14439925176902602,0.9223591848227545,0.5360363231895507,0.9066518013020216,0.4899007655821994,-0.04152623398499737,0.5100780729908627,0.396838018069025,0.904562737511243
0.5,1,1.074569931823542,1000,5,200.0,0.8660254037844385,0.2,[1.51967137 1.31607401],2,10000000,0.4671157746673629,-0.06241279421000805,0.5328819153199966,1.0277077186247099,0.5614971875050726,-173.2020202340107,-328.97114077439585,603.6956258273381,2634.293331018959,909.8400000000001,2634.249074430487,0.7723361515131477,0.37567972229288443,0.40215806241809526,669,666,,,16.087574661771036,0.0003210905681417797,10,0.9173776777544307,-0.20026797181863865,1.082615460899488,0.5967664066622309,0.9810337751483497,0.47969710943475247,-0.051530030295510613,0.5203028276966565,0.4465968653855061,0.9730600348104116
0.5,1,1.074569931823542,1000,5,200.0,0.8660254037844385,0.2,[1.51967137 1.31607401],2,10000000,0.48625868644914466,-0.03182903787119935,0.5137409608374142,0.9888705122133925,0.41127082511492563,-76.63607379751149,-177.808452070621,650.0056374003374,2790.7165808882523,970.3200000000002,2790.667467486485,0.7199478126706765,0.3857326617072948,0.40215806241809526,720,717,,,3.8318819585017847,0.14720325218977415,10,0.9936251268733504,-0.10782675881091035,1.043045558565747,0.44268703902688933,0.8980361871205991,0.4946683866111008,-0.025969277997596123,0.5053116476899422,0.31733086198058696,0.8864591870082403
0.5,1,1.074569931823542,1000,5,200.0,0.8660254037844385,0.2,[1.51967137 1.31607401],2,10000000,0.49712240666614954,-0.041201702879812105,0.502874361355495,0.8200965683318366,0.44519956039026576,-13.869370241598643,-199.53508722593622,571.635085546911,2419.825127135624,828.6400000000002,2419.786280656914,0.7415593328528836,0.38209473454718534,0.40215806241809526,636,630,,,5.079270208076203,0.07889518307262033,10,0.9095020572519017,-0.10739220508594273,0.9492635431678834,0.45860185927086666,0.8769234009765192,0.4943835665927709,-0.0292477788128982,0.5056142186549542,0.3353076231970861,0.8802398587249644
0.5,1,1.074569931823542,1000,5,200.0,0.8660254037844385,0.2,[1.51967137 1.31607401],2,10000000,0.48022115235997215,-0.04459488612096029,0.5197737797923784,0.9938806897888435,0.47934230701061264,-99.44322015562727,-224.50858881943546,569.3349180993905,2515.7576817235895,882.6000000000001,2515.717262675894,0.7699644435914894,0.3762343008215942,0.40215806241809526,628,625,,,7.725217903178839,0.021013105770907647,10,0.867659390417942,-0.09449301523539014,0.9277891261082599,0.4460279631360585,0.9394193090637655,0.49256036834939265,-0.027303067596658792,0.5074387609286206,0.32730785727838113,0.9184032468906097
0.5,1,1.074569931823542,1000,5,200.0,0.8660254037844385,0.2,[1.51967137 1.31607401],2,10000000,0.4719289316451141,-0.0544827775408441,0.5280635399948256,1.0231185755662346,0.5291678975797238,-140.89004876888177,-273.66343101827675,570.5361668752628,2510.3835831205747,872.9200000000002,2510.3432750961565,0.7781376088951996,0.374275473395133,0.40215806241809526,628,624,,,11.450761187059967,0.0032621115011539636,10,0.8703014981797582,-0.1418490347269295,1.0158954338580586,0.5377924440852823,1.02247416332609,0.48014245640420744,-0.038580175166599694,0.5198474067003235,0.3996212031808829,1.0230187516195295
0.5,1,1.074569931823542,1000,5,200.0,0.8660254037844385,0.2,[1.51967137 1.31607401],2,10000000,0.47248210430724363,-0.03890546627442101,0.5275179086461789,1.092927002136916,0.47441450520150025,-164.40294464616912,-232.70914784349117,673.7650981115427,2988.4449912657874,1058.4800000000002,2988.391090746066,0.7407295667288138,0.3822463300093415,0.40215806241809526,744,741,,,10.095739470143206,0.006423001577713028,10,0.9541659309744784,-0.1150346747809012,1.0724344765640572,0.47580877655900294,1.0228127278062933,0.4858529788703118,-0.029711347786361093,0.5141416117056227,0.3514231124665309,1.0075536560549647
0.5,1,1.074569931823542,1000,5,200.0,0.8660254037844385,0.2,[1.51967137 1.31607401],2,10000000,0.4937610780613801,-0.06953607964886963,0.5062386022887713,0.8300544698116262,0.5590896559912205,-28.873946170452417,-322.4307413388456,566.6480682407282,2317.520273162795,779.8800000000001,2317.484887015411,0.708136361154408,0.38747319110899975,0.40215806241809526,629,625,,,19.96343786875242,4.6237521566516726e-05,10,0.9289249179810422,-0.1830423190505145,0.9284495100392488,0.5738406821411991,0.7847488495160856,0.49843210837989266,-0.04876749030140916,0.5015649494510117,0.421685436145,0.8014527333987597
