kappa,angle_rad,a_parameter,field_size,unit_length,T_parameter,gstools_model_anis_ratio,gstools_model_rescale_factor,gstools_model_len_scale,level_val,total_points_generated,sigma_emp_xx,sigma_emp_xy,sigma_emp_yy,estimated_angle_cabana,estimated_kappa_cabana,empirical_cosine_cabana,empirical_sine_cabana,euler_characteristic,perimeter,volume_sublevel_set,perimeter_cabana,estimated_kappa_BD,statistics_BD,mean_statistics_BD,euler_characteristic_scikit_1,euler_characteristic_scikit_2,estimated_kappa_BD_scikit_1,estimated_kappa_BD_scikit_2,chi2_statistic,chi2_pvalue,factor_divide
0,1,1.0,1000,5,200.0,1.0,0.2,[1.41421356 1.41421356],1,10000000,0.5154471672790675,-0.03136514800754587,0.4845524663833089,2.127365297695272,0.41312396530321643,379.6145152205968,-770.7349731936129,1428.660402178898,12262.103241323262,6439.480000000001,12261.588219981042,0.7752479221893985,0.37498353821481156,0.4052847345693511,1581,1571,,,3.988326708928045,0.13612749699984827,25
0,1,1.0,1000,5,200.0,1.0,0.2,[1.41421356 1.41421356],1,10000000,0.5116303457093869,0.01136897228318046,0.48836885766817406,1.1855542168688074,0.28818060920631,269.7073837169369,261.78021985846516,1331.888152809454,11564.757329255226,6301.480000000001,11564.302930454178,0.7421195660014264,0.3819918065672947,0.4052847345693511,1473,1457,,,0.8670941748826714,0.648205769545857,25
0,1,1.0,1000,5,200.0,1.0,0.2,[1.41421356 1.41421356],1,10000000,0.49956903804405034,0.02089404262199763,0.5004296428866587,2.3466063839244944,0.32449220099680964,-9.195577848267398,479.47167090694177,1266.777167758966,11500.655674042904,6378.3600000000015,11500.18454382845,0.7821390231103011,0.37326582135454206,0.4052847345693511,1411,1394,,,1.3467518569231463,0.5099839989001382,25
0,1,1.0,1000,5,200.0,1.0,0.2,[1.41421356 1.41421356],1,10000000,0.4812405792316178,-0.0019567151678652433,0.5187590058318572,1.5174435608104153,0.30923577924813506,-453.2659875108743,-48.55039441579339,1310.2684904464033,12100.079134393589,6806.560000000001,12099.582659262529,0.7512919372483225,0.3802384658867678,0.4052847345693511,1450,1428,,,1.2525684026278836,0.5345744862696604,25
0,1,1.0,1000,5,200.0,1.0,0.2,[1.41421356 1.41421356],1,10000000,0.49154512514380994,-0.015557924594770784,0.5084492116744239,1.0327935211534607,0.30051185964551097,-188.54160325108606,-349.4373666018935,1365.729597080352,11191.765798345024,6001.160000000001,11191.290947720674,0.6657250849845465,0.39255990758494785,0.4052847345693511,1520,1498,,,1.040146714202798,0.5944769372656701,25
0,1,1.0,1000,5,200.0,1.0,0.2,[1.41421356 1.41421356],1,10000000,0.49643306251815744,-0.011271125153014153,0.5035658271667234,0.9366385102538959,0.24768972185716487,-84.18015862489905,-269.75942686832195,1436.0667464404228,11904.956438449455,6240.960000000001,11904.444814945127,0.7318932815019027,0.38379952861980265,0.4052847345693511,1591,1584,,,0.5443566275504393,0.7617184240915393,25
0,1,1.0,1000,5,200.0,1.0,0.2,[1.41421356 1.41421356],1,10000000,0.49435019472939873,-0.007662124402443779,0.5056494907639073,1.1001426534403782,0.22280670836464128,-132.1870491547013,-181.4927639410452,1315.288954870391,11760.944748127127,6496.720000000001,11760.447071804105,0.7540498809876707,0.3796851471926158,0.4052847345693511,1463,1444,,,0.3188125757970662,0.8526498672634494,25
0,1,1.0,1000,5,200.0,1.0,0.2,[1.41421356 1.41421356],1,10000000,0.46994402787187944,0.009899104749776622,0.5300555519202278,1.7292780332016637,0.3940539016495858,-719.5057033212107,236.01421842058096,1438.6863059643745,11981.811363458059,6327.240000000002,11981.245623608238,0.7151723042751708,0.38645584974162756,0.4052847345693511,1587,1563,,,3.8961744673699865,0.14254646907145863,25
0,1,1.0,1000,5,200.0,1.0,0.2,[1.41421356 1.41421356],1,10000000,0.5122197794172425,-0.026123360029863974,0.48777952802384755,2.1373874810739815,0.3781953571974788,299.31185238719564,-639.7343178715429,1474.518279995546,12215.523404688436,6239.720000000001,12214.943750759863,0.778458368289584,0.374195801095806,0.4052847345693511,1636,1621,,,3.424116779023896,0.1804938832649977,25
0,1,1.0,1000,5,200.0,1.0,0.2,[1.41421356 1.41421356],1,10000000,0.49211977611572594,-0.0009524777592071262,0.5078793587525032,1.5070590513490905,0.2032593957547474,-189.78523161017375,-24.324686904921855,1401.2407759047,12094.596935667285,6506.680000000001,12094.07392200582,0.7350176940417418,0.3832628602438762,0.4052847345693511,1555,1533,,,0.23192626469830327,0.8905080536322791,25
