kappa,angle_rad,a_parameter,field_size,unit_length,T_parameter,gstools_model_anis_ratio,gstools_model_rescale_factor,gstools_model_len_scale,level_val,total_points_generated,sigma_emp_xx,sigma_emp_xy,sigma_emp_yy,estimated_angle_cabana,estimated_kappa_cabana,empirical_cosine_cabana,empirical_sine_cabana,euler_characteristic,perimeter,volume_sublevel_set,perimeter_cabana,estimated_kappa_BD,statistics_BD,mean_statistics_BD,euler_characteristic_scikit_1,euler_characteristic_scikit_2,estimated_kappa_BD_scikit_1,estimated_kappa_BD_scikit_2,chi2_statistic,chi2_pvalue,factor_divide
0,1,1.0,1000,5,200.0,1.0,0.2,[1.41421356 1.41421356],0,10000000,0.5315379578839243,0.004725982294565045,0.4684621385352339,1.496716608093042,0.39582033254975807,1220.2586365003783,182.12742703364574,12.384016716694292,19333.49691262698,19984.120000000003,19332.568204393447,,2.125152124801968,0.4052847345693511,91,68,,,6.7567274375776725,0.034103211549543544,10
0,1,1.0,1000,5,200.0,1.0,0.2,[1.41421356 1.41421356],0,10000000,0.4969286395025363,0.008017907819868778,0.5030709134368719,2.17398412064602,0.21132934660206693,-113.78165692849507,298.2806727413105,-11.487704696374246,18635.953062079156,20073.120000000003,18635.05258989937,,0.4607739213554053,0.4052847345693511,58,33,,,0.30433123081340285,0.8588460308273707,10
0,1,1.0,1000,5,200.0,1.0,0.2,[1.41421356 1.41421356],0,10000000,0.5102125149024663,0.013338732200848394,0.48978605674860337,1.1129197807167843,0.2928379465350468,406.6258203960202,529.3277735799264,-31.825340647038743,19861.501323840905,20058.760000000006,19860.271105890533,,1.398502691543868,0.4052847345693511,46,13,,,0.9213053571087599,0.6308717546405621,10
0,1,1.0,1000,5,200.0,1.0,0.2,[1.41421356 1.41421356],0,10000000,0.4647726289419559,0.015602074462756804,0.5352262617716278,1.779174411282154,0.43123819527344287,-1439.6945444849323,637.334666407555,66.4525243816276,20445.24053185472,19931.320000000003,20443.965165073652,,2.3577160013722267,0.4052847345693511,162,118,,,4.946454057224513,0.08431234118928521,10
0,1,1.0,1000,5,200.0,1.0,0.2,[1.41421356 1.41421356],0,10000000,0.5121176686020107,-0.02659091061654734,0.48788156346114114,2.1421979611902415,0.3802299587144869,486.361627125389,-1066.1285100906234,4.7546430974083345,20033.803557185634,20042.280000000002,20032.729546159935,0.9310018535423114,0.2854001488089973,0.4052847345693511,84,52,,,2.3918767327488144,0.3024200401986388,10
0,1,1.0,1000,5,200.0,1.0,0.2,[1.41421356 1.41421356],0,10000000,0.5307502536804768,-0.0009577975927924878,0.4692491075431661,1.5865933738564375,0.38936344804679657,1221.07922944493,-38.59173354751776,5.627100776373346,19840.447628912392,20065.120000000003,19839.313858656293,0.9658395072545994,0.22359529094865455,0.4052847345693511,91,51,,,3.31312503619851,0.19079370406042484,10
0,1,1.0,1000,5,200.0,1.0,0.2,[1.41421356 1.41421356],0,10000000,0.501395829196887,0.013615285294449752,0.49860397803517437,0.8372471033346194,0.26523628487832795,55.96908476040522,537.7961857681015,102.84673409517731,19771.644574787635,19644.880000000005,19770.518846160427,,0.7543736008890176,0.4052847345693511,180,164,,,1.1086151781892541,0.5744698927368814,10
0,1,1.0,1000,5,200.0,1.0,0.2,[1.41421356 1.41421356],0,10000000,0.4929240361307179,-0.03230155197639954,0.5070751312446299,0.8928507791537975,0.4024579493398281,-286.9686562138092,-1314.7059304157867,28.30349921625706,20336.833057456475,19966.480000000003,20335.60631949943,,2.0795449036294835,0.4052847345693511,112,84,,,5.898361662489712,0.05238259856594629,10
0,1,1.0,1000,5,200.0,1.0,0.2,[1.41421356 1.41421356],0,10000000,0.493579820916029,0.013790388702560876,0.5064199013413436,2.138764785628042,0.27899477118853816,-257.47992491711295,554.2975589891978,26.503677368275007,20119.635379861353,19934.480000000003,20118.462516215135,,1.01785815452277,0.4052847345693511,105,79,,,0.8826059195623118,0.6431978139831745,10
0,1,1.0,1000,5,200.0,1.0,0.2,[1.41421356 1.41421356],0,10000000,0.5316330643683578,0.0023777930505971124,0.4683643287090073,1.5335875653593414,0.3948752473823902,1258.2056619866462,93.80577704790996,42.26770898835749,19874.23840004679,19906.360000000004,19873.129191280837,,1.1640092980973513,0.4052847345693511,135,103,,,2.9041539286149374,0.23408359957013603,10
0,1,1.0,1000,5,200.0,1.0,0.2,[1.41421356 1.41421356],0,10000000,0.5068161874578038,-0.003099412540547439,0.49318227946931814,1.7845517890758182,0.19818916027109676,262.8493940517873,-119.75729649577755,-36.51153782065616,19224.55414928906,20175.960000000003,19223.51677307265,,0.571832085607972,0.4052847345693511,36,3,,0.9988759062027004,0.16548016234772417,0.9205903949010861,10
0,1,1.0,1000,5,200.0,1.0,0.2,[1.41421356 1.41421356],0,10000000,0.5087794159734743,0.007408705958731901,0.4912206561719901,1.221397514214617,0.24388965427484102,349.19388301192123,293.40494311813745,-52.63090519070382,19837.4111914132,20093.920000000006,19836.330754786075,,1.4504502618570174,0.4052847345693511,24,0,,,0.7589593428249305,0.6842173344444873,10
0,1,1.0,1000,5,200.0,1.0,0.2,[1.41421356 1.41421356],0,10000000,0.488733588810509,0.012557619780074702,0.5112611496434583,1.990782317796058,0.293161705817004,-456.2929232312904,509.0264501233546,37.7367913511681,20294.21546887196,19862.160000000003,20292.94726868396,,0.6770545712616962,0.4052847345693511,115,100,,,1.2829240281961238,0.5265220783506446,10
0,1,1.0,1000,5,200.0,1.0,0.2,[1.41421356 1.41421356],0,10000000,0.4829712287056092,-0.04240990387160185,0.5170287245936066,0.9760556180494424,0.4656855815042784,-668.3210719578102,-1666.8929783590663,-38.32737267857671,19644.034584256846,20043.200000000004,19642.964848858708,,2.341865272145582,0.4052847345693511,45,12,,,4.899823246172585,0.08630121319722517,10
0,1,1.0,1000,5,200.0,1.0,0.2,[1.41421356 1.41421356],0,10000000,0.5127068265881923,0.03296873438163068,0.48729290364954136,0.9696575249924825,0.4147194171245925,493.0925967738665,1276.9125974566434,-21.489082119813972,19372.11739028866,20051.440000000002,19370.88788032938,,1.1338610021435944,0.4052847345693511,42,21,,,5.325405284354887,0.06975943196086165,10
0,1,1.0,1000,5,200.0,1.0,0.2,[1.41421356 1.41421356],0,10000000,0.4856925935095327,-0.014401082146555819,0.514306765183502,1.1757388039388823,0.32040278544656814,-581.7042591371012,-587.2179686118187,3.3498750695722097,20360.848249942366,19993.760000000006,20359.56182476222,,1.3190229383879892,0.4052847345693511,81,55,,,1.348677984936626,0.5094930880939912,10
0,1,1.0,1000,5,200.0,1.0,0.2,[1.41421356 1.41421356],0,10000000,0.5262512189861857,-0.018549798870451148,0.4737454713270071,1.8783804050153954,0.39732634048507665,1027.608682515549,-726.1489429052676,5.688454952033511,19555.3806660526,19785.120000000003,19554.332997798145,0.997419696433606,0.07050393934051834,0.4052847345693511,87,56,,,1.8478140740681401,0.3969650501590605,10
