kappa,angle_rad,a_parameter,field_size,unit_length,T_parameter,gstools_model_anis_ratio,gstools_model_rescale_factor,gstools_model_len_scale,level_val,total_points_generated,sigma_emp_xx,sigma_emp_xy,sigma_emp_yy,estimated_angle_cabana,estimated_kappa_cabana,empirical_cosine_cabana,empirical_sine_cabana,euler_characteristic,perimeter,volume_sublevel_set,perimeter_cabana,estimated_kappa_BD,statistics_BD,mean_statistics_BD,euler_characteristic_scikit_1,euler_characteristic_scikit_2,estimated_kappa_BD_scikit_1,estimated_kappa_BD_scikit_2,chi2_statistic,chi2_pvalue,chi2_statistics
0,1,1.0,1000,5,200.0,1.0,0.2,[1.41421356 1.41421356],2,10000000,0.4638295084560314,0.014924716026105561,0.5361686070199446,1.7662532311808683,0.4342720419076367,-178.32612454497738,73.49239164694562,576.3782462007265,2465.9217114643175,859.5200000000002,2465.883573977416,0.7211841170727104,0.38554096588039566,0.4052847345693511,631,629,,,,1.5171719436324338e-10,45.218005824361036
0,1,1.0,1000,5,200.0,1.0,0.2,[1.41421356 1.41421356],2,10000000,0.5130709312346581,-0.0013997584706226026,0.48692365252448344,1.62500092502848,0.26038441320846495,65.09744869734267,-7.084939252913803,576.3892019420035,2487.7380433094954,872.3200000000002,2487.7015215859083,0.726149779299724,0.38475186537389783,0.4052847345693511,638,636,,,,0.06345220094351456,5.514936795164602
0,1,1.0,1000,5,200.0,1.0,0.2,[1.41421356 1.41421356],2,10000000,0.5101005483627641,0.02820809140349934,0.4898973983186269,0.9577170707873754,0.38440570585283695,56.882940649911234,158.46435483347096,643.0311661363371,2811.1269863537636,985.8000000000002,2811.075216290712,0.7398259362589067,0.3824102712502236,0.4052847345693511,714,709,,,,6.454134496847175e-07,28.506749436355697
0,1,1.0,1000,5,200.0,1.0,0.2,[1.41421356 1.41421356],2,10000000,0.49096033121547994,0.016691095162059213,0.5090312925173232,2.1080465513026825,0.31010264334172,-51.14542006845852,94.45092650210609,648.84451991196,2834.2327842276895,997.1600000000002,2834.180011220827,0.7293664026432947,0.38422387896404486,0.4052847345693511,713,713,,,,0.0007165657375739487,14.482081133441065
0,1,1.0,1000,5,200.0,1.0,0.2,[1.41421356 1.41421356],2,10000000,0.49918430536925323,0.008575997476908284,0.5008156861571926,2.3093142543438425,0.21165371008971925,-3.5726431724110372,37.99221463806097,552.9192541232132,2220.528706955509,736.3600000000001,2220.493405941932,0.7058985419812053,0.38778521628197415,0.4052847345693511,611,610,,,,0.3501733088271538,2.0986541579527054
0,1,1.0,1000,5,200.0,1.0,0.2,[1.41421356 1.41421356],2,10000000,0.5157711504277732,0.0025913975697117583,0.4842288187521602,1.4901308040230763,0.28595666365143757,75.06890001887058,12.217123068146096,572.0941702881396,2378.255947416603,817.2400000000001,2378.219333810524,0.6873941111447933,0.3901679578241326,0.4052847345693511,634,634,,,,0.017907809422538556,8.045036761378777
0,1,1.0,1000,5,200.0,1.0,0.2,[1.41421356 1.41421356],2,10000000,0.5041777480875067,-0.005824832792421834,0.49581968330386356,2.0452368128427176,0.19405609699288737,22.30897966283403,-31.12282244434155,612.1226085774631,2660.452466868326,941.4400000000002,2660.408858399722,0.7103881469257853,0.3871536719202343,0.4052847345693511,677,676,,,,0.4428365457928829,1.6291090962915107
0,1,1.0,1000,5,200.0,1.0,0.2,[1.41421356 1.41421356],2,10000000,0.48553163585384945,-0.013443852621152528,0.5144664057500343,1.195743436776434,0.3163419407119274,-77.69381270327982,-72.39463340741436,650.9487074146075,2687.106633973161,920.0800000000002,2687.055597277316,0.6514179543108559,0.39393633970060443,0.4052847345693511,715,713,,,,0.000982544584470335,13.850729673309248
0,1,1.0,1000,5,200.0,1.0,0.2,[1.41421356 1.41421356],2,10000000,0.5107104484623836,-0.008664713043356042,0.4892851717341163,1.9111773286646736,0.2664338569739304,57.83041954899784,-46.83815541913973,599.8467706793689,2695.8330881258717,976.8800000000002,2695.791414363911,0.7295795043344212,0.3841884206704561,0.4052847345693511,664,660,,,,0.05211327505077379,5.9086711264792875
0,1,1.0,1000,5,200.0,1.0,0.2,[1.41421356 1.41421356],2,10000000,0.4907951667046708,-0.0025061316929613645,0.5092046006198939,1.4364130890480664,0.2226740116046533,-48.036678111273396,-13.230770210281598,635.4626133716741,2613.0149496417694,902.4400000000002,2612.969691662387,0.5890069791774297,0.3984726623984996,0.4052847345693511,698,696,,,,0.18306675300667052,3.3958088442501144
0,1,1.0,1000,5,200.0,1.0,0.2,[1.41421356 1.41421356],2,10000000,0.5004912612683391,-0.009791289643905363,0.4995070692648529,2.3305119381417922,0.22599794925555763,2.8260074359497183,-54.96964706539873,606.3092466556271,2800.151644023875,1043.6800000000003,2800.105226079628,0.718223623056941,0.38599690684758137,0.4052847345693511,670,668,,,,0.27062738693079536,2.6140247203933504
0,1,1.0,1000,5,200.0,1.0,0.2,[1.41421356 1.41421356],2,10000000,0.5218186094295679,0.004871385585296759,0.47817779396235266,1.461612477433076,0.33543145394378804,128.98979183870802,28.623624203442912,675.9604849708402,2953.757469352448,1022.1200000000002,2953.7021817526615,0.7606972237069141,0.3782988675319755,0.4052847345693511,748,746,,,,7.753701651347367e-05,18.929510206406622
0,1,1.0,1000,5,200.0,1.0,0.2,[1.41421356 1.41421356],2,10000000,0.5162292718133575,0.009357061045502458,0.48374950299113145,1.3100891514884652,0.3083980313151625,77.62689276782102,44.59209836339936,538.3448089010219,2389.77945500193,869.8400000000001,2389.744835963307,0.7024458226627298,0.38825610110018133,0.4052847345693511,601,598,,,,0.006004606766739973,10.2304566198016
