kappa,angle_rad,a_parameter,field_size,unit_length,T_parameter,gstools_model_anis_ratio,gstools_model_rescale_factor,gstools_model_len_scale,level_val,total_points_generated,sigma_emp_xx,sigma_emp_xy,sigma_emp_yy,estimated_angle_cabana,estimated_kappa_cabana,empirical_cosine_cabana,empirical_sine_cabana,euler_characteristic,perimeter,volume_sublevel_set,perimeter_cabana,estimated_kappa_BD,statistics_BD,mean_statistics_BD,euler_characteristic_scikit_1,euler_characteristic_scikit_2,estimated_kappa_BD_scikit_1,estimated_kappa_BD_scikit_2,chi2_statistic,chi2_pvalue,factor_divide
0,1,1.0,1000,5,200.0,1.0,0.2,[1.41421356 1.41421356],0,10000000,0.5160830488666348,0.013822703487489228,0.4839154471779706,1.216393288342331,0.32715667914092844,622.6286222983767,533.8759079491356,-40.646429696054,19332.293144411156,20177.600000000002,19331.290422961538,,0.6237017183748625,0.4052847345693511,33,10,,0.986298227878489,2.321425826521648,0.313262772072183,10
0,1,1.0,1000,5,200.0,1.0,0.2,[1.41421356 1.41421356],0,10000000,0.5067002519532702,-0.022045748971868243,0.49329921161942947,2.208323551084915,0.3403084653563531,272.2464384136842,-893.5582048935083,-51.86389268258841,20252.734712225938,20174.600000000002,20251.633399340484,,0.7375967014922703,0.4052847345693511,15,-6,0.9697644501199993,0.9961626595494931,2.2348781160095905,0.3271164491058154,10
0,1,1.0,1000,5,200.0,1.0,0.2,[1.41421356 1.41421356],0,10000000,0.5165540348300457,-0.02145290492072718,0.4834458841526178,2.02746047207203,0.367154541902471,672.8746524741819,-871.5362995551279,60.70482298992361,20297.628446380288,19758.800000000003,20296.55043881429,,0.6221416134038691,0.4052847345693511,136,115,,,5.894734688694732,0.052477679910430175,10
0,1,1.0,1000,5,200.0,1.0,0.2,[1.41421356 1.41421356],0,10000000,0.4771115824132229,-0.012898806700312147,0.5228883803456444,1.3138030014033921,0.36170173487704543,-897.4513863879816,-506.7050410137511,-14.602099072403911,19618.739462527177,19974.720000000005,19617.81677978561,,1.5286054390740997,0.4052847345693511,64,39,,,2.2749377920605984,0.3206295423351446,10
0,1,1.0,1000,5,200.0,1.0,0.2,[1.41421356 1.41421356],0,10000000,0.5001805454593424,0.017490962553727285,0.49981938331480774,0.7910346307173469,0.2983979720162061,7.985953785893367,708.3883439142423,0.589966085888943,20266.258458061002,19994.760000000006,20265.1522490551,0.9356463405288048,0.2792213872820968,0.4052847345693511,76,56,,,1.4826280764032183,0.4764873813445947,10
0,1,1.0,1000,5,200.0,1.0,0.2,[1.41421356 1.41421356],0,10000000,0.5150897103076861,0.0018348726910730746,0.48490920291509926,1.510892642120334,0.2792637985083247,577.1594204005113,69.48070793335516,25.936918607101102,19098.395819452042,20027.360000000004,19097.383620168937,,2.6473280464876274,0.4052847345693511,102,80,,,0.792346718437937,0.6728900341347097,10
0,1,1.0,1000,5,200.0,1.0,0.2,[1.41421356 1.41421356],0,10000000,0.4776469675215018,-0.01234325846460062,0.5223526565164132,1.3180379861330367,0.3569174886545484,-926.0421157282537,-512.5525793071884,3.874848056616539,20731.16466612481,19966.360000000004,20729.84930123901,0.9400007946733426,0.27299211718342686,0.4052847345693511,88,53,,,2.9605360584981195,0.22757668300111633,10
0,1,1.0,1000,5,200.0,1.0,0.2,[1.41421356 1.41421356],0,10000000,0.463072669930562,-0.041244309796592216,0.5369273259882135,1.1503019709234181,0.5064856414203628,-1487.6590887589343,-1662.985808015107,25.933117606403286,20152.129740318356,19907.120000000003,20151.007169979337,,0.7002948281106349,0.4052847345693511,114,81,,,9.990974540771614,0.006768422243597971,10
0,1,1.0,1000,5,200.0,1.0,0.2,[1.41421356 1.41421356],0,10000000,0.5142393533222074,-0.003477045410798755,0.48575988940797143,1.690880673348006,0.27447918848437997,572.5268846207034,-140.20926088090843,-18.097126370510107,20074.185070791278,20030.600000000002,20073.061210665273,,1.494897398387078,0.4052847345693511,57,30,,,0.5926292212255062,0.7435534614078115,10
0,1,1.0,1000,5,200.0,1.0,0.2,[1.41421356 1.41421356],0,10000000,0.5396180653307708,-0.003183907439096152,0.4603802932139714,1.61108045412803,0.43758130233375936,1596.8645417037935,-128.93569420441125,-31.518950831340952,20141.18265032233,19953.280000000002,20140.076646760994,,1.6939344744480545,0.4052847345693511,54,26,,,6.285144907696419,0.043171597991582655,10
0,1,1.0,1000,5,200.0,1.0,0.2,[1.41421356 1.41421356],0,10000000,0.5267322232300506,-0.00012538903209723663,0.47326631369868094,1.5734440684740945,0.3648194736859769,1082.1573328090935,-5.730599713257581,-10.189133126955124,20224.58101347326,20038.880000000005,20223.50514276819,,0.652604855620414,0.4052847345693511,65,42,,,2.1480945215205054,0.34162307801415537,10
0,1,1.0,1000,5,200.0,1.0,0.2,[1.41421356 1.41421356],0,10000000,0.5063770804927732,-0.01962518987072515,0.49362257039462243,2.198824364396275,0.3230691290679216,247.51660544649354,-760.274537211574,1.4379899627257697,19353.592148285414,20041.000000000004,19352.667098725087,0.9951501233206508,0.09537773902196191,0.4052847345693511,71,55,,,1.4818773032433672,0.4766662818893861,10
0,1,1.0,1000,5,200.0,1.0,0.2,[1.41421356 1.41421356],0,10000000,0.47714510245848935,-0.010810251199044042,0.5228547258597064,1.3494674632640316,0.3552378846858042,-871.4600356936095,-413.0993972008621,-2.701099552469995,19081.14872819499,20117.440000000002,19080.070931964623,0.9978630009839102,0.06434279746362828,0.4052847345693511,61,49,,,1.6950425546934664,0.42847568914122036,10
0,1,1.0,1000,5,200.0,1.0,0.2,[1.41421356 1.41421356],0,10000000,0.5122567425844624,0.008913028665353989,0.4877406170052235,1.2572463174025612,0.2787869676911202,466.60343591176974,338.13932262631533,-1.63499123897511,18998.829603429702,19961.640000000003,18997.885615272462,0.9920276527954616,0.12027671789680981,0.4052847345693511,71,47,,,0.4550573808601346,0.7964995692544828,10
